revenuedate,totalrevenue
2020-07-05 00:00:00.000000,25226.2985
2020-07-06 00:00:00.000000,28955.0065
2020-07-07 00:00:00.000000,27495.9762
2020-07-08 00:00:00.000000,27973.946
2020-07-09 00:00:00.000000,38639.9279
2020-07-10 00:00:00.000000,34930.9765
2020-07-11 00:00:00.000000,27445.2605
2020-07-12 00:00:00.000000,23894.5153
2020-07-13 00:00:00.000000,24816.2423
2020-07-14 00:00:00.000000,24293.0341
2020-07-15 00:00:00.000000,22231.3303
2020-07-16 00:00:00.000000,27105.4873
2020-07-17 00:00:00.000000,28882.1044
2020-07-18 00:00:00.000000,20163.2745
2020-07-19 00:00:00.000000,16762.8804
2020-07-20 00:00:00.000000,20676.2008
2020-07-21 00:00:00.000000,21189.463
2020-07-22 00:00:00.000000,23549.8832
2020-07-23 00:00:00.000000,27655.9749
2020-07-24 00:00:00.000000,34539.901
2020-07-25 00:00:00.000000,24851.9636
2020-07-26 00:00:00.000000,18773.4806
2020-07-27 00:00:00.000000,17899.0699
2020-07-28 00:00:00.000000,86376.1071
2020-07-29 00:00:00.000000,62758.6871
2020-07-30 00:00:00.000000,47197.5339
2020-07-31 00:00:00.000000,32451.5038
2020-08-01 00:00:00.000000,23721.1711
2020-08-02 00:00:00.000000,19626.0799
2020-08-03 00:00:00.000000,22623.7752
2020-08-04 00:00:00.000000,25211.3432
2020-08-05 00:00:00.000000,71072.9469
2020-08-06 00:00:00.000000,56194.8051
2020-08-07 00:00:00.000000,43619.2864
2020-08-08 00:00:00.000000,24738.1325
2020-08-09 00:00:00.000000,20079.8786
2020-08-10 00:00:00.000000,29207.181219
2020-08-11 00:00:00.000000,22498.3283
2020-08-12 00:00:00.000000,19074.966
2020-08-13 00:00:00.000000,18586.3068
2020-08-14 00:00:00.000000,21248.3227
2020-08-15 00:00:00.000000,19216.8902
2020-08-16 00:00:00.000000,17349.6856
2020-08-17 00:00:00.000000,20011.49413
2020-08-18 00:00:00.000000,17981.6357
2020-08-19 00:00:00.000000,17318.1487
2020-08-20 00:00:00.000000,19440.5669
2020-08-21 00:00:00.000000,16807.8382
2020-08-22 00:00:00.000000,17041.1461
2020-08-23 00:00:00.000000,13466.7478
2020-08-24 00:00:00.000000,23339.105902
2020-08-25 00:00:00.000000,20068.3594
2020-08-26 00:00:00.000000,18821.6078
2020-08-27 00:00:00.000000,23032.30203
2020-08-28 00:00:00.000000,21611.7363
2020-08-29 00:00:00.000000,20063.2781
2020-08-30 00:00:00.000000,14295.1244
2020-08-31 00:00:00.000000,18583.155833
2020-09-01 00:00:00.000000,21485.2358
2020-09-02 00:00:00.000000,23765.9056
2020-09-03 00:00:00.000000,24615.38
2020-09-04 00:00:00.000000,31785.3241
2020-09-05 00:00:00.000000,23843.4614
2020-09-06 00:00:00.000000,15098.8102
2020-09-07 00:00:00.000000,18695.9954
2020-09-08 00:00:00.000000,18154.5416
2020-09-09 00:00:00.000000,16794.8795
2020-09-10 00:00:00.000000,16353.2336
